day,counterparty,symbol,trade_count,quantity,notional,side
3,Mark 01,VEV_5500,119,408.0,667.0,buyer
3,Mark 01,VEV_6000,124,423.0,0.0,buyer
3,Mark 01,VEV_6500,124,423.0,0.0,buyer
3,Mark 14,HYDROGEL_PACK,171,689.0,6887668.0,buyer
3,Mark 14,VELVETFRUIT_EXTRACT,110,589.0,3083412.0,buyer
3,Mark 14,VEV_4000,77,141.0,173318.0,buyer
3,Mark 14,VEV_5200,19,75.0,5555.0,buyer
3,Mark 14,VEV_5300,10,31.0,965.0,buyer
3,Mark 14,VEV_5400,6,22.0,201.0,buyer
3,Mark 14,VEV_5500,1,5.0,5.0,buyer
3,Mark 22,HYDROGEL_PACK,4,16.0,160055.0,buyer
3,Mark 22,VELVETFRUIT_EXTRACT,6,34.0,177997.0,buyer
3,Mark 22,VEV_4000,1,3.0,3678.0,buyer
3,Mark 22,VEV_4500,1,3.0,2178.0,buyer
3,Mark 22,VEV_5000,1,3.0,687.0,buyer
3,Mark 22,VEV_5100,1,3.0,417.0,buyer
3,Mark 22,VEV_5200,1,3.0,207.0,buyer
3,Mark 22,VEV_5300,1,3.0,84.0,buyer
3,Mark 38,HYDROGEL_PACK,161,662.0,6626187.0,buyer
3,Mark 38,VEV_4000,72,143.0,178645.0,buyer
3,Mark 38,VEV_4500,1,2.0,1478.0,buyer
3,Mark 38,VEV_5000,1,2.0,484.0,buyer
3,Mark 38,VEV_5100,1,2.0,302.0,buyer
3,Mark 38,VEV_5200,1,2.0,158.0,buyer
3,Mark 49,VELVETFRUIT_EXTRACT,5,37.0,193707.0,buyer
3,Mark 55,VELVETFRUIT_EXTRACT,194,1053.0,5517434.0,buyer
3,Mark 67,VELVETFRUIT_EXTRACT,46,424.0,2221932.0,buyer
1,Mark 01,VELVETFRUIT_EXTRACT,81,458.0,2404594.0,seller
1,Mark 14,HYDROGEL_PACK,187,738.0,7383320.0,seller
1,Mark 14,VELVETFRUIT_EXTRACT,97,513.0,2692471.0,seller
1,Mark 14,VEV_4000,72,147.0,184995.0,seller
1,Mark 22,HYDROGEL_PACK,2,7.0,69858.0,seller
1,Mark 22,VELVETFRUIT_EXTRACT,40,274.0,1436918.0,seller
1,Mark 22,VEV_4000,1,1.0,1233.0,seller
1,Mark 22,VEV_4500,1,1.0,733.0,seller
1,Mark 22,VEV_5000,1,1.0,238.0,seller
1,Mark 22,VEV_5100,1,1.0,152.0,seller
1,Mark 22,VEV_5200,7,22.0,1905.0,seller
1,Mark 22,VEV_5300,39,130.0,5747.0,seller
1,Mark 22,VEV_5400,81,286.0,4250.0,seller
1,Mark 22,VEV_5500,92,321.0,1923.0,seller
1,Mark 22,VEV_6000,98,345.0,0.0,seller
1,Mark 22,VEV_6500,98,345.0,0.0,seller
1,Mark 38,HYDROGEL_PACK,186,740.0,7388346.0,seller
1,Mark 38,VEV_4000,91,185.0,229385.0,seller
1,Mark 49,VELVETFRUIT_EXTRACT,34,342.0,1795543.0,seller
1,Mark 55,VELVETFRUIT_EXTRACT,198,1098.0,5758551.0,seller
2,Mark 01,VELVETFRUIT_EXTRACT,92,528.0,2777199.0,seller
2,Mark 14,HYDROGEL_PACK,161,641.0,6403064.0,seller
2,Mark 14,VELVETFRUIT_EXTRACT,118,627.0,3298084.0,seller
2,Mark 14,VEV_4000,64,124.0,156768.0,seller
2,Mark 22,HYDROGEL_PACK,4,17.0,169748.0,seller
2,Mark 22,VELVETFRUIT_EXTRACT,37,241.0,1267739.0,seller
2,Mark 22,VEV_5200,8,26.0,2150.0,seller
2,Mark 22,VEV_5300,45,162.0,7002.0,seller
2,Mark 22,VEV_5400,80,283.0,3640.0,seller
2,Mark 22,VEV_5500,94,335.0,1607.0,seller
2,Mark 22,VEV_6000,95,337.0,0.0,seller
2,Mark 22,VEV_6500,95,337.0,0.0,seller
2,Mark 38,HYDROGEL_PACK,146,586.0,5850964.0,seller
2,Mark 38,VEV_4000,64,132.0,164435.0,seller
2,Mark 49,VELVETFRUIT_EXTRACT,37,400.0,2102572.0,seller
2,Mark 55,VELVETFRUIT_EXTRACT,193,1099.0,5775066.0,seller
3,Mark 01,VELVETFRUIT_EXTRACT,71,389.0,2038286.0,seller
3,Mark 14,HYDROGEL_PACK,159,654.0,6546037.0,seller
3,Mark 14,VELVETFRUIT_EXTRACT,116,623.0,3264124.0,seller
3,Mark 14,VEV_4000,71,141.0,176167.0,seller
3,Mark 22,HYDROGEL_PACK,2,8.0,80150.0,seller
3,Mark 22,VELVETFRUIT_EXTRACT,24,182.0,953164.0,seller
3,Mark 22,VEV_4000,1,2.0,2478.0,seller
3,Mark 22,VEV_4500,1,2.0,1478.0,seller
3,Mark 22,VEV_5000,1,2.0,484.0,seller
3,Mark 22,VEV_5100,1,2.0,302.0,seller
3,Mark 22,VEV_5200,31,111.0,7938.0,seller
3,Mark 22,VEV_5300,79,253.0,7477.0,seller
3,Mark 22,VEV_5400,115,390.0,2979.0,seller
3,Mark 22,VEV_5500,120,413.0,672.0,seller
3,Mark 22,VEV_6000,124,423.0,0.0,seller
3,Mark 22,VEV_6500,124,423.0,0.0,seller
3,Mark 38,HYDROGEL_PACK,175,705.0,7047723.0,seller
3,Mark 38,VEV_4000,78,144.0,176996.0,seller
3,Mark 38,VEV_4500,1,3.0,2178.0,seller
3,Mark 38,VEV_5000,1,3.0,687.0,seller
3,Mark 38,VEV_5100,1,3.0,417.0,seller
3,Mark 38,VEV_5200,1,3.0,207.0,seller
3,Mark 38,VEV_5300,1,3.0,84.0,seller
3,Mark 49,VELVETFRUIT_EXTRACT,34,329.0,1724848.0,seller
3,Mark 55,VELVETFRUIT_EXTRACT,209,1100.0,5759219.0,seller
